CampaignID,CampaignName,CustomerID,CampaignMedium,EngagementLevel,ConversionStatus
CAM0000,Campaign Real,CUST06074,Push Notification,Ignored,Not Converted
CAM0001,Campaign Discuss,CUST08198,Social Media,Clicked,Not Converted
CAM0002,Campaign Product,CUST02491,Email,Opened,Converted
CAM0003,Campaign Effect,CUST02489,Social Media,Clicked,Not Converted
CAM0004,Campaign Better,CUST07464,Email,Opened,Not Converted
CAM0005,Campaign Style,CUST09294,Push Notification,Clicked,Converted
CAM0006,Campaign Wide,CUST03339,Push Notification,Ignored,Converted
CAM0007,Campaign Area,CUST08424,Email,Ignored,Not Converted
CAM0008,Campaign Low,CUST05958,Social Media,Ignored,Not Converted
CAM0009,Campaign Hear,CUST03754,Push Notification,Ignored,Not Converted
CAM0010,Campaign Ball,CUST07961,Email,Clicked,Not Converted
CAM0011,Campaign Put,CUST08190,Social Media,Opened,Not Converted
CAM0012,Campaign New,CUST00501,Social Media,Ignored,Converted
CAM0013,Campaign Significant,CUST00210,Social Media,Ignored,Converted
CAM0014,Campaign Day,CUST03409,SMS,Opened,Converted
CAM0015,Campaign Run,CUST08220,Email,Opened,Not Converted
CAM0016,Campaign Year,CUST01757,Push Notification,Ignored,Converted
CAM0017,Campaign Simply,CUST08922,Push Notification,Opened,Converted
CAM0018,Campaign Expert,CUST06322,Push Notification,Ignored,Not Converted
CAM0019,Campaign Actually,CUST01903,SMS,Clicked,Not Converted
CAM0020,Campaign Structure,CUST05430,Social Media,Opened,Not Converted
CAM0021,Campaign Those,CUST03521,SMS,Ignored,Not Converted
CAM0022,Campaign Big,CUST01433,Email,Opened,Converted
CAM0023,Campaign Budget,CUST02613,SMS,Opened,Converted
CAM0024,Campaign Attack,CUST07467,SMS,Clicked,Not Converted
CAM0025,Campaign Put,CUST07746,Email,Clicked,Converted
CAM0026,Campaign Phone,CUST09092,SMS,Opened,Not Converted
CAM0027,Campaign Crime,CUST02358,SMS,Ignored,Converted
CAM0028,Campaign Reality,CUST06975,Email,Clicked,Not Converted
CAM0029,Campaign Fish,CUST03521,Social Media,Opened,Converted
CAM0030,Campaign However,CUST04573,Email,Ignored,Converted
CAM0031,Campaign Dinner,CUST02453,SMS,Ignored,Converted
CAM0032,Campaign Responsibility,CUST05919,SMS,Ignored,Not Converted
CAM0033,Campaign Thousand,CUST07654,Push Notification,Ignored,Converted
CAM0034,Campaign Range,CUST00072,Social Media,Ignored,Converted
CAM0035,Campaign Finish,CUST04516,Social Media,Opened,Not Converted
CAM0036,Campaign Lawyer,CUST02781,SMS,Opened,Not Converted
CAM0037,Campaign Industry,CUST08927,SMS,Opened,Not Converted
CAM0038,Campaign Task,CUST00596,Email,Clicked,Converted
CAM0039,Campaign World,CUST06303,Social Media,Ignored,Not Converted
CAM0040,Campaign Order,CUST02750,Social Media,Opened,Not Converted
CAM0041,Campaign Quite,CUST09558,Social Media,Opened,Converted
CAM0042,Campaign Cover,CUST06398,Social Media,Clicked,Not Converted
CAM0043,Campaign Quickly,CUST09613,Push Notification,Clicked,Not Converted
CAM0044,Campaign Peace,CUST05668,Email,Opened,Not Converted
CAM0045,Campaign Resource,CUST03934,SMS,Clicked,Converted
CAM0046,Campaign Data,CUST08715,SMS,Ignored,Converted
CAM0047,Campaign Year,CUST01129,Push Notification,Ignored,Converted
CAM0048,Campaign She,CUST01302,SMS,Ignored,Converted
CAM0049,Campaign Out,CUST02395,SMS,Opened,Not Converted
CAM0050,Campaign Everyone,CUST02824,Social Media,Clicked,Not Converted
CAM0051,Campaign Interview,CUST08044,SMS,Clicked,Not Converted
CAM0052,Campaign Degree,CUST07502,SMS,Opened,Converted
CAM0053,Campaign Appear,CUST07856,SMS,Opened,Converted
CAM0054,Campaign First,CUST02634,Email,Clicked,Not Converted
CAM0055,Campaign Four,CUST06163,Email,Clicked,Converted
CAM0056,Campaign Free,CUST05818,SMS,Ignored,Not Converted
CAM0057,Campaign Structure,CUST00176,Social Media,Clicked,Not Converted
CAM0058,Campaign Face,CUST06185,SMS,Ignored,Converted
CAM0059,Campaign Since,CUST03618,Push Notification,Clicked,Not Converted
CAM0060,Campaign Dark,CUST07103,Push Notification,Opened,Not Converted
CAM0061,Campaign Company,CUST07275,SMS,Ignored,Converted
CAM0062,Campaign Style,CUST00110,Push Notification,Opened,Not Converted
CAM0063,Campaign Measure,CUST05421,Email,Ignored,Not Converted
CAM0064,Campaign Space,CUST09037,Social Media,Ignored,Converted
CAM0065,Campaign Official,CUST08175,Social Media,Ignored,Not Converted
CAM0066,Campaign Husband,CUST02806,SMS,Opened,Not Converted
CAM0067,Campaign Responsibility,CUST05340,Email,Ignored,Converted
CAM0068,Campaign Night,CUST05129,Email,Opened,Not Converted
CAM0069,Campaign Test,CUST01762,SMS,Ignored,Not Converted
CAM0070,Campaign Reduce,CUST06319,Push Notification,Opened,Not Converted
CAM0071,Campaign Threat,CUST00988,Social Media,Ignored,Converted
CAM0072,Campaign Find,CUST02841,SMS,Ignored,Not Converted
CAM0073,Campaign Charge,CUST07094,Push Notification,Clicked,Converted
CAM0074,Campaign Stage,CUST01441,SMS,Ignored,Converted
CAM0075,Campaign Test,CUST09419,SMS,Opened,Converted
CAM0076,Campaign Lead,CUST03511,Social Media,Ignored,Converted
CAM0077,Campaign Past,CUST00274,Push Notification,Ignored,Converted
CAM0078,Campaign Kitchen,CUST00857,Social Media,Opened,Not Converted
CAM0079,Campaign Military,CUST04852,Push Notification,Ignored,Converted
CAM0080,Campaign Spring,CUST01050,SMS,Ignored,Not Converted
CAM0081,Campaign Rock,CUST01201,SMS,Ignored,Converted
CAM0082,Campaign Effort,CUST04344,Email,Ignored,Not Converted
CAM0083,Campaign Per,CUST06528,Social Media,Opened,Converted
CAM0084,Campaign Produce,CUST09584,Social Media,Opened,Converted
CAM0085,Campaign Place,CUST05279,Email,Clicked,Not Converted
CAM0086,Campaign Deep,CUST00143,Push Notification,Opened,Not Converted
CAM0087,Campaign Force,CUST09833,Social Media,Opened,Converted
CAM0088,Campaign White,CUST03008,SMS,Opened,Converted
CAM0089,Campaign West,CUST08750,Social Media,Ignored,Converted
CAM0090,Campaign Agent,CUST09189,Email,Ignored,Converted
CAM0091,Campaign Seat,CUST04388,Social Media,Opened,Not Converted
CAM0092,Campaign Investment,CUST01558,Social Media,Opened,Not Converted
CAM0093,Campaign Through,CUST09442,Push Notification,Opened,Not Converted
CAM0094,Campaign Agreement,CUST04467,Email,Opened,Not Converted
CAM0095,Campaign Citizen,CUST09759,SMS,Opened,Not Converted
CAM0096,Campaign Minute,CUST07028,Push Notification,Ignored,Not Converted
CAM0097,Campaign Lead,CUST08495,Email,Ignored,Not Converted
CAM0098,Campaign List,CUST03687,Push Notification,Ignored,Not Converted
CAM0099,Campaign Imagine,CUST04158,Social Media,Clicked,Converted
CAM0100,Campaign Culture,CUST09281,Push Notification,Clicked,Not Converted
CAM0101,Campaign Until,CUST05038,Push Notification,Clicked,Converted
CAM0102,Campaign Appear,CUST09459,Email,Clicked,Converted
CAM0103,Campaign Chair,CUST01796,Email,Ignored,Converted
CAM0104,Campaign Expect,CUST00641,Social Media,Clicked,Not Converted
CAM0105,Campaign Citizen,CUST06223,Push Notification,Opened,Not Converted
CAM0106,Campaign Important,CUST09920,Email,Clicked,Not Converted
CAM0107,Campaign Yard,CUST03180,Email,Ignored,Converted
CAM0108,Campaign Science,CUST04124,Email,Opened,Not Converted
CAM0109,Campaign Machine,CUST07589,Push Notification,Clicked,Not Converted
CAM0110,Campaign Able,CUST05338,SMS,Clicked,Converted
CAM0111,Campaign Society,CUST04565,Push Notification,Opened,Converted
CAM0112,Campaign Section,CUST03970,SMS,Ignored,Converted
CAM0113,Campaign Few,CUST00428,Push Notification,Ignored,Not Converted
CAM0114,Campaign Cold,CUST02179,SMS,Opened,Not Converted
CAM0115,Campaign Face,CUST05161,Push Notification,Clicked,Converted
CAM0116,Campaign Expert,CUST09116,SMS,Opened,Converted
CAM0117,Campaign Even,CUST03161,SMS,Clicked,Not Converted
CAM0118,Campaign Important,CUST06021,SMS,Ignored,Converted
CAM0119,Campaign Themselves,CUST03560,SMS,Opened,Not Converted
CAM0120,Campaign Country,CUST01608,Email,Ignored,Converted
CAM0121,Campaign Concern,CUST06534,Push Notification,Clicked,Converted
CAM0122,Campaign Heavy,CUST09854,Social Media,Clicked,Converted
CAM0123,Campaign Ahead,CUST03362,Email,Opened,Not Converted
CAM0124,Campaign Both,CUST05834,Email,Ignored,Converted
CAM0125,Campaign Successful,CUST06183,SMS,Opened,Converted
CAM0126,Campaign Can,CUST04950,Push Notification,Clicked,Converted
CAM0127,Campaign Bad,CUST04487,SMS,Opened,Not Converted
CAM0128,Campaign At,CUST04417,Social Media,Opened,Converted
CAM0129,Campaign Standard,CUST07525,Email,Ignored,Not Converted
CAM0130,Campaign If,CUST02847,Email,Clicked,Converted
CAM0131,Campaign Organization,CUST08489,Social Media,Ignored,Not Converted
CAM0132,Campaign Policy,CUST06343,Email,Ignored,Converted
CAM0133,Campaign Truth,CUST05673,Social Media,Opened,Converted
CAM0134,Campaign Region,CUST04916,Social Media,Ignored,Not Converted
CAM0135,Campaign Bed,CUST01170,SMS,Clicked,Not Converted
CAM0136,Campaign Result,CUST06876,Email,Opened,Converted
CAM0137,Campaign Country,CUST00123,SMS,Clicked,Converted
CAM0138,Campaign Impact,CUST09418,Push Notification,Ignored,Converted
CAM0139,Campaign Sell,CUST09835,Email,Ignored,Converted
CAM0140,Campaign No,CUST06930,Email,Clicked,Converted
CAM0141,Campaign Total,CUST05019,Email,Clicked,Converted
CAM0142,Campaign Serve,CUST03894,Push Notification,Clicked,Converted
CAM0143,Campaign Him,CUST09969,Push Notification,Clicked,Not Converted
CAM0144,Campaign Clearly,CUST00597,Email,Ignored,Not Converted
CAM0145,Campaign Treatment,CUST09157,SMS,Clicked,Converted
CAM0146,Campaign Office,CUST01733,Social Media,Opened,Not Converted
CAM0147,Campaign Center,CUST03039,Social Media,Ignored,Converted
CAM0148,Campaign Election,CUST09109,SMS,Clicked,Not Converted
CAM0149,Campaign Military,CUST07195,Social Media,Opened,Not Converted
CAM0150,Campaign College,CUST04166,Email,Clicked,Converted
CAM0151,Campaign Class,CUST00430,Email,Ignored,Not Converted
CAM0152,Campaign Quickly,CUST04019,Email,Ignored,Converted
CAM0153,Campaign Style,CUST04041,Email,Clicked,Not Converted
CAM0154,Campaign Late,CUST06292,Social Media,Ignored,Converted
CAM0155,Campaign Thousand,CUST02130,Social Media,Ignored,Not Converted
CAM0156,Campaign Whom,CUST02125,Social Media,Clicked,Converted
CAM0157,Campaign Film,CUST03468,Social Media,Opened,Converted
CAM0158,Campaign Source,CUST01641,SMS,Ignored,Converted
CAM0159,Campaign Adult,CUST02992,Social Media,Ignored,Converted
CAM0160,Campaign Lead,CUST04645,Email,Opened,Not Converted
CAM0161,Campaign Result,CUST00166,Social Media,Ignored,Converted
CAM0162,Campaign Civil,CUST02829,Push Notification,Clicked,Not Converted
CAM0163,Campaign Similar,CUST06348,Email,Ignored,Not Converted
CAM0164,Campaign Stock,CUST06001,Email,Ignored,Converted
CAM0165,Campaign Capital,CUST01101,Push Notification,Clicked,Converted
CAM0166,Campaign Many,CUST07290,Email,Ignored,Not Converted
CAM0167,Campaign Ten,CUST03979,Email,Clicked,Converted
CAM0168,Campaign Yourself,CUST03317,Email,Opened,Converted
CAM0169,Campaign Before,CUST04867,SMS,Ignored,Not Converted
CAM0170,Campaign Catch,CUST06092,Push Notification,Ignored,Not Converted
CAM0171,Campaign Represent,CUST04480,Social Media,Ignored,Not Converted
CAM0172,Campaign Tv,CUST07914,Push Notification,Clicked,Not Converted
CAM0173,Campaign Ever,CUST05590,Push Notification,Ignored,Not Converted
CAM0174,Campaign Involve,CUST00527,Email,Ignored,Not Converted
CAM0175,Campaign Environmental,CUST07617,Social Media,Clicked,Not Converted
CAM0176,Campaign Learn,CUST05592,Email,Opened,Converted
CAM0177,Campaign Series,CUST01135,Email,Opened,Converted
CAM0178,Campaign Left,CUST06851,Social Media,Ignored,Converted
CAM0179,Campaign Sometimes,CUST04621,SMS,Opened,Converted
CAM0180,Campaign Road,CUST08046,SMS,Opened,Not Converted
CAM0181,Campaign Policy,CUST04374,Social Media,Ignored,Not Converted
CAM0182,Campaign Nation,CUST09209,Social Media,Ignored,Not Converted
CAM0183,Campaign Bank,CUST06115,Email,Ignored,Converted
CAM0184,Campaign Commercial,CUST08994,Email,Opened,Converted
CAM0185,Campaign Discover,CUST07862,SMS,Ignored,Converted
CAM0186,Campaign Bad,CUST08146,Push Notification,Opened,Converted
CAM0187,Campaign Officer,CUST06397,Email,Ignored,Converted
CAM0188,Campaign Glass,CUST01097,Social Media,Opened,Converted
CAM0189,Campaign Help,CUST03561,Email,Clicked,Converted
CAM0190,Campaign Record,CUST04962,Email,Clicked,Not Converted
CAM0191,Campaign Significant,CUST08754,SMS,Opened,Not Converted
CAM0192,Campaign Any,CUST00468,Social Media,Clicked,Converted
CAM0193,Campaign Indicate,CUST02870,SMS,Opened,Converted
CAM0194,Campaign Bring,CUST02780,Email,Ignored,Not Converted
CAM0195,Campaign See,CUST06028,Email,Ignored,Converted
CAM0196,Campaign Several,CUST00409,SMS,Opened,Not Converted
CAM0197,Campaign From,CUST00912,SMS,Ignored,Converted
CAM0198,Campaign Side,CUST05833,Social Media,Clicked,Converted
CAM0199,Campaign After,CUST01889,Push Notification,Opened,Converted
CAM0200,Campaign Low,CUST02629,Social Media,Ignored,Converted
CAM0201,Campaign Prove,CUST04471,Push Notification,Ignored,Converted
