CustomerID,SessionDuration,PagesVisited,ItemsAddedToCart,ItemsRemovedFromCart,DeviceUsed
CUST00000,18.2,1,3,0,Tablet
CUST00001,2.05,3,0,0,Mobile
CUST00002,14.88,6,1,0,Tablet
CUST00003,30.78,10,5,3,Desktop
CUST00004,3.95,1,0,0,Tablet
CUST00005,1.63,6,3,0,Desktop
CUST00006,22.81,11,3,3,Mobile
CUST00007,40.12,2,2,2,Mobile
CUST00008,6.39,1,1,0,Desktop
CUST00009,0.65,1,1,1,Tablet
CUST00010,12.69,7,4,1,Mobile
CUST00011,9.78,5,5,2,Desktop
CUST00012,0.36,6,5,4,Mobile
CUST00013,1.8,4,2,1,Desktop
CUST00014,15.42,8,4,0,Mobile
CUST00015,0.3,6,2,0,Tablet
CUST00016,14.97,2,4,2,Tablet
CUST00017,0.57,8,4,1,Tablet
CUST00018,6.97,7,1,0,Desktop
CUST00019,35.45,7,4,0,Desktop
CUST00020,12.22,3,1,0,Tablet
CUST00021,6.0,3,2,2,Mobile
CUST00022,1.56,5,1,0,Tablet
CUST00023,6.03,1,0,0,Tablet
CUST00024,10.98,2,4,3,Tablet
CUST00025,4.35,1,1,1,Mobile
CUST00026,2.85,9,5,2,Mobile
CUST00027,3.19,7,0,0,Tablet
CUST00028,22.81,7,5,2,Mobile
CUST00029,37.77,5,3,1,Tablet
CUST00030,2.25,5,4,4,Mobile
CUST00031,4.24,9,2,2,Desktop
CUST00032,40.86,3,4,4,Tablet
CUST00033,24.12,1,3,0,Mobile
CUST00034,2.27,9,3,0,Desktop
CUST00035,23.48,3,2,2,Tablet
CUST00036,5.13,7,1,1,Mobile
CUST00037,8.25,9,0,0,Mobile
CUST00038,9.51,4,3,3,Desktop
CUST00039,51.95,6,4,2,Tablet
CUST00040,15.3,6,2,2,Mobile
CUST00041,4.58,7,5,3,Tablet
CUST00042,10.12,8,2,1,Desktop
CUST00043,2.68,1,0,0,Mobile
CUST00044,7.68,4,3,0,Mobile
CUST00045,27.23,2,3,0,Tablet
CUST00046,21.69,5,3,1,Desktop
CUST00047,5.19,5,3,3,Mobile
CUST00048,12.75,5,5,4,Mobile
CUST00049,12.73,4,3,3,Tablet
CUST00050,39.64,2,3,3,Tablet
CUST00051,1.79,8,0,0,Tablet
CUST00052,6.32,5,3,2,Mobile
CUST00053,0.66,1,5,1,Tablet
CUST00054,7.84,4,1,0,Tablet
CUST00055,1.07,6,4,1,Desktop
CUST00056,19.0,8,0,0,Desktop
CUST00057,24.76,9,4,0,Tablet
CUST00058,30.69,5,2,2,Mobile
CUST00059,4.03,1,1,0,Tablet
CUST00060,37.97,4,5,2,Tablet
CUST00061,1.18,10,0,0,Tablet
CUST00062,3.26,3,5,1,Desktop
CUST00063,13.16,1,3,0,Mobile
CUST00064,7.26,5,4,2,Desktop
CUST00065,6.44,1,0,0,Tablet
CUST00066,23.78,4,4,1,Tablet
CUST00067,0.46,2,4,3,Mobile
CUST00068,14.6,1,3,3,Mobile
CUST00069,10.49,5,1,0,Mobile
CUST00070,38.03,9,0,0,Desktop
CUST00071,0.39,11,4,4,Desktop
CUST00072,5.28,2,4,2,Mobile
CUST00073,3.52,1,5,2,Tablet
CUST00074,15.88,3,2,1,Mobile
CUST00075,71.21,6,0,0,Tablet
CUST00076,4.39,2,4,3,Mobile
CUST00077,10.28,4,4,2,Mobile
CUST00078,10.12,8,4,4,Mobile
CUST00079,5.12,7,4,2,Desktop
CUST00080,26.67,3,3,3,Tablet
CUST00081,9.21,2,4,0,Tablet
CUST00082,6.4,2,0,0,Desktop
CUST00083,0.5,4,3,1,Desktop
CUST00084,15.26,4,1,0,Desktop
CUST00085,0.82,3,3,2,Mobile
CUST00086,12.31,6,3,3,Tablet
CUST00087,3.51,12,3,0,Tablet
CUST00088,12.62,8,3,3,Desktop
CUST00089,38.85,1,2,1,Mobile
CUST00090,1.59,4,1,0,Desktop
CUST00091,5.07,1,4,3,Desktop
CUST00092,4.09,3,1,1,Desktop
CUST00093,2.52,6,1,1,Tablet
CUST00094,9.64,10,2,1,Mobile
CUST00095,12.05,2,4,3,Tablet
CUST00096,29.92,5,0,0,Mobile
CUST00097,8.61,5,5,4,Tablet
CUST00098,12.02,6,0,0,Mobile
CUST00099,58.44,7,3,0,Mobile
CUST00100,1.57,6,2,2,Tablet
CUST00101,7.96,6,2,1,Mobile
CUST00102,22.93,8,4,3,Desktop
CUST00103,3.04,5,2,2,Tablet
CUST00104,0.8,5,5,2,Tablet
CUST00105,6.23,5,3,3,Desktop
CUST00106,14.58,2,5,1,Desktop
CUST00107,3.58,6,1,1,Tablet
CUST00108,13.68,2,1,1,Desktop
CUST00109,8.87,3,4,1,Mobile
CUST00110,11.91,2,4,1,Tablet
CUST00111,9.87,10,0,0,Tablet
CUST00112,70.79,6,0,0,Mobile
CUST00113,39.48,6,0,0,Tablet
CUST00114,38.24,7,5,4,Desktop
CUST00115,19.76,4,1,1,Tablet
CUST00116,23.52,3,2,2,Mobile
CUST00117,5.62,8,3,3,Desktop
CUST00118,5.21,8,3,3,Tablet
CUST00119,7.12,5,0,0,Tablet
CUST00120,3.08,2,5,0,Mobile
CUST00121,5.54,10,2,2,Tablet
CUST00122,14.27,3,4,4,Desktop
CUST00123,14.97,5,3,3,Desktop
CUST00124,13.72,5,5,4,Desktop
CUST00125,4.45,5,3,1,Tablet
CUST00126,18.83,1,0,0,Desktop
CUST00127,17.83,7,2,2,Tablet
CUST00128,3.11,3,0,0,Desktop
CUST00129,20.07,7,5,5,Tablet
CUST00130,2.64,2,0,0,Desktop
CUST00131,3.35,6,3,3,Desktop
CUST00132,26.26,1,0,0,Mobile
CUST00133,24.68,8,1,0,Tablet
CUST00134,12.7,1,2,2,Desktop
