OrderID,ProductID,QuantityOrdered,TotalPrice,DiscountApplied,TaxApplied
ORD000000,PROD0764,2,11575.8,0.0,1765.8
ORD000001,PROD0954,3,17907.33,523.3,2731.63
ORD000002,PROD0077,5,16118.8,0.0,2458.8
ORD000003,PROD0669,1,2234.92,0.0,340.92
ORD000004,PROD0388,1,1781.8,0.0,271.8
ORD000004,PROD0517,4,36598.88,0.0,5582.88
ORD000004,PROD0586,5,105191.93,1819.3,16046.23
ORD000004,PROD0352,1,18620.4,0.0,2840.4
ORD000004,PROD0910,3,5334.78,0.0,813.78
ORD000005,PROD0334,4,54855.84,0.0,8367.84
ORD000005,PROD0946,2,1687.4,0.0,257.4
ORD000006,PROD0432,2,3941.2,0.0,601.2
ORD000006,PROD0941,1,1730.0,162.9,263.9
ORD000006,PROD0351,4,57308.71,1245.3,8742.01
ORD000007,PROD0590,1,3224.94,0.0,491.94
ORD000008,PROD0122,2,7293.23,325.3,1112.53
ORD000008,PROD0058,1,6729.54,0.0,1026.54
ORD000008,PROD0832,1,12179.96,0.0,1857.96
ORD000009,PROD0402,2,44304.16,1976.1,6758.26
ORD000010,PROD0370,4,12045.44,0.0,1837.44
ORD000010,PROD0175,1,46118.41,4342.6,7035.01
ORD000011,PROD0022,5,8749.7,0.0,1334.7
ORD000012,PROD0206,5,24166.4,0.0,3686.4
ORD000013,PROD0451,1,3208.42,0.0,489.42
ORD000013,PROD0949,4,4016.72,0.0,612.72
ORD000014,PROD0938,4,15656.0,340.2,2388.2
ORD000015,PROD0618,2,7844.76,349.9,1196.66
ORD000016,PROD0577,1,2076.8,0.0,316.8
ORD000017,PROD0008,3,2226.66,0.0,339.66
ORD000017,PROD0069,3,12390.0,0.0,1890.0
ORD000018,PROD0295,2,10440.64,0.0,1592.64
ORD000019,PROD0109,5,9086.0,0.0,1386.0
ORD000019,PROD0052,4,25922.24,0.0,3954.24
ORD000019,PROD0934,5,139629.4,0.0,21299.4
ORD000019,PROD0401,2,5161.32,0.0,787.32
ORD000019,PROD0145,2,20107.2,0.0,3067.2
ORD000020,PROD0478,2,16494.04,0.0,2516.04
ORD000020,PROD0269,5,2995.08,51.8,456.88
ORD000021,PROD0126,5,13074.4,0.0,1994.4
ORD000022,PROD0846,1,3800.78,0.0,579.78
ORD000023,PROD0991,3,10559.82,0.0,1610.82
ORD000023,PROD0329,3,14722.86,0.0,2245.86
ORD000024,PROD0070,1,9275.51,873.4,1414.91
ORD000025,PROD0623,5,6431.0,0.0,981.0
ORD000026,PROD0036,5,144613.6,2501.1,22059.7
ORD000027,PROD0094,1,29746.62,0.0,4537.62
ORD000028,PROD0663,3,14923.34,436.1,2276.44
ORD000029,PROD0447,4,62628.62,1360.9,9553.52
ORD000030,PROD0693,5,53076.4,0.0,8096.4
ORD000031,PROD0998,5,44712.21,773.3,6820.51
ORD000031,PROD0342,3,11556.09,337.7,1762.79
ORD000032,PROD0956,2,142211.24,0.0,21693.24
ORD000033,PROD0733,4,5163.68,0.0,787.68
ORD000033,PROD0183,1,11460.16,0.0,1748.16
ORD000034,PROD0010,5,88877.6,0.0,13557.6
ORD000035,PROD0429,4,204951.84,0.0,31263.84
ORD000036,PROD0442,5,345734.1,0.0,52739.1
ORD000037,PROD0085,3,9598.71,280.5,1464.21
ORD000038,PROD0651,1,49495.1,0.0,7550.1
ORD000039,PROD0955,5,1705.1,0.0,260.1
ORD000040,PROD0651,2,98990.2,0.0,15100.2
ORD000040,PROD0417,4,36521.47,793.6,5571.07
ORD000041,PROD0211,4,3521.12,0.0,537.12
ORD000042,PROD0576,3,13089.15,382.5,1996.65
ORD000042,PROD0483,4,86168.32,0.0,13144.32
ORD000042,PROD0045,5,68445.9,0.0,10440.9
ORD000043,PROD0377,4,92823.52,0.0,14159.52
ORD000043,PROD0390,4,9314.45,202.4,1420.85
ORD000044,PROD0780,1,94374.04,0.0,14396.04
ORD000045,PROD0278,4,13244.32,0.0,2020.32
ORD000045,PROD0491,1,1706.63,160.7,260.33
ORD000046,PROD0742,2,14053.8,0.0,2143.8
ORD000047,PROD0580,2,122781.36,0.0,18729.36
ORD000048,PROD0973,4,22991.59,499.6,3507.19
ORD000048,PROD0079,5,402548.62,6962.1,61405.72
ORD000049,PROD0594,4,18266.4,0.0,2786.4
ORD000049,PROD0430,5,332848.5,0.0,50773.5
ORD000050,PROD0027,3,41513.58,0.0,6332.58
ORD000050,PROD0841,5,111657.5,0.0,17032.5
ORD000050,PROD0123,1,5794.98,0.0,883.98
ORD000051,PROD0121,2,22672.52,0.0,3458.52
